Version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
1.1.0.0,0.2538943919455523,-0.0819230779391037,-1.2880483066707153,0.18949838209926462,-0.3202790519877672,0.03466286282710662
1.3.0.0,0.007949922276602628,-0.057514621116567355,-0.39601933760994434,0.04364388934620145,-0.18504897903470763,0.013265452129052946
2.0.0.0,-0.002849002849003135,0.0017891059557724187,-0.008920431420429864,0.0006267806267810094,-0.008547008547008517,0.0025708859042190557
2.2.0.0,-0.013373966301825746,-0.01682764545713422,-0.0017857577402722313,0.00030259714573688257,-0.02364576775469418,-0.0018538080189469675
2.4.0.0,0.0,0.0,-0.002780898876403981,0.0,0.0,0.0
2.7.0.0,-0.02435444347480331,0.0023298573451244753,0.0027006433522487328,-0.001997655834522938,-0.040219882260434936,0.008961729731501444
2.10.0.0,0.0006906077348061146,0.0006906077348065587,-0.0009116022099462384,0.0,0.0013812154696131174,0.0
2.13.0.0,-0.008357439448894333,-0.01450018394372532,-0.004171524297991169,-0.0002289787117057962,-0.015866818111292424,-0.0026897558274621147
2.16.0.0,-0.30107131715078683,-0.4791053863994226,0.5286858437127329,-0.028071475281417957,-0.28530041230883807,-0.13315873670088885
2.19.0.0,0.032783548351511094,-0.012166752594800934,-0.053742984953677464,0.012606431702095744,0.003961299364140025,-0.00625845698448213
3.0.0.0,0.0,0.0,-0.0005418719211807144,0.0,0.0,0.0
