file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/transport/JobResponse.java,org.opensearch.timeseries.transport.JobResponse,class,6,7,1,6,5,2,0,5,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,19,2,0,0,0,0,0,0,2,0,1,0,0,0,0,23,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/ratelimit/RateLimitedRequestWorker.java,org.opensearch.timeseries.ratelimit.RateLimitedRequestWorker,class,16,29,13,16,77,1,0,74,41,0.8612442,0.0,0.0,19,0,7,6,6,0,13,1,0,0,22,1,0,10,12,0,8,0,6,358,17,10,18,6,5,7,10,61,9,52,3,0,1,3,234,1025,7
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/cluster/HourlyCron.java,org.opensearch.timeseries.cluster.HourlyCron,class,6,8,2,6,4,1,0,9,0,0.33333334,0.0,0.0,2,0,2,0,0,0,2,0,0,0,6,4,3,3,0,0,4,0,0,30,0,1,0,0,0,3,0,8,0,10,3,0,0,2,39,1,3
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ValidateAnomalyDetectorTransportAction.java,org.opensearch.ad.transport.ValidateAnomalyDetectorTransportAction,class,19,20,1,19,2,2,0,7,1,1.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,33,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/forecast/model/ForecasterProfile.java,org.opensearch.forecast.model.ForecasterProfile,class,5,9,4,5,4,3,0,0,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ADHCImputeTransportAction.java,org.opensearch.ad.transport.ADHCImputeTransportAction,class,23,24,1,23,13,2,0,35,9,0.6666667,0.0,0.0,6,0,1,1,4,0,5,0,0,0,5,1,0,5,0,0,1,0,1,56,7,1,1,0,0,1,0,14,0,16,3,0,0,2,225,1,1
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/cluster/ClusterEventListener.java,org.opensearch.timeseries.cluster.ClusterEventListener,class,8,10,2,8,8,1,0,19,0,0.35714287,0.0,0.0,2,0,2,0,0,0,2,0,0,0,7,4,3,4,0,0,6,0,0,49,2,0,0,1,0,9,1,8,1,12,3,0,0,5,55,1,7
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/rest/handler/AbstractTimeSeriesActionHandler.java,org.opensearch.timeseries.rest.handler.AbstractTimeSeriesActionHandler,class,64,67,3,64,128,1,0,200,448,0.9123774,0.0,0.0,48,0,3,12,33,0,36,11,0,0,34,5,5,0,29,0,32,0,19,638,30,9,16,4,2,31,17,120,10,154,9,1,0,43,493,1025,22
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/settings/TimeSeriesSettings.java,org.opensearch.timeseries.settings.TimeSeriesSettings,class,2,2,0,2,0,1,0,5,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,49,49,49,0,0,0,43,0,2,51,0,0,0,0,0,7,49,49,1,49,0,0,0,0,175,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/timeseries/util/ParseUtils.java,org.opensearch.timeseries.util.ParseUtils,class,42,72,30,42,103,1,0,125,394,0.86206895,0.0,0.0,29,28,27,2,0,0,27,0,0,0,1,1,0,1,0,0,1,0,21,365,33,16,39,2,5,55,13,64,16,64,5,0,0,7,365,17,5
