file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/common/exception/ADVersionException.java,org.opensearch.ad.common.exception.ADVersionException,class,1,3,2,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/EntityProfileRunner.java,org.opensearch.ad.EntityProfileRunner,class,28,30,2,28,51,2,0,81,25,0.79999995,0.0,0.0,10,0,2,8,0,0,2,0,0,0,6,3,0,3,0,3,4,0,0,232,6,3,13,3,1,11,11,43,6,51,6,0,0,8,191,1,5
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/ml/ModelState.java,org.opensearch.ad.ml.ModelState$Anonymous1,anonymous,3,3,0,3,5,1,0,6,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,1,0,1,2,0,0,0,9,-1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/util/MultiResponsesDelegateActionListener.java,org.opensearch.ad.util.MultiResponsesDelegateActionListener,class,5,9,4,5,13,1,0,18,0,0.51111114,0.0,0.0,5,0,3,2,0,0,3,0,0,0,9,2,0,8,0,1,7,0,4,66,0,1,3,2,0,3,6,11,1,11,2,0,0,0,61,1,2
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/DeleteModelNodeRequest.java,org.opensearch.ad.transport.DeleteModelNodeRequest,class,4,5,1,4,5,2,0,4,0,0.2,0.0,0.0,5,0,2,0,0,3,5,0,0,0,1,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,2,0,1,0,0,0,0,27,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/AnomalyDetectorJobResponse.java,org.opensearch.ad.transport.AnomalyDetectorJobResponse,class,7,10,3,7,5,2,0,9,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,5,0,0,35,2,0,0,0,0,0,0,10,0,5,0,0,0,0,33,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/ml/KllFloatsSketchSerDe.java,org.opensearch.ad.ml.KllFloatsSketchSerDe,class,7,8,1,7,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/model/AnomalyResult.java,org.opensearch.ad.model.AnomalyResult,class,17,33,16,17,67,1,0,55,22,0.79301065,0.0,0.0,24,1,24,0,0,0,24,0,0,0,31,16,11,20,0,0,30,0,6,286,21,4,20,0,1,28,2,82,0,52,3,0,0,1,121,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/transport/ADResultBulkResponse.java,org.opensearch.ad.transport.ADResultBulkResponse,class,4,6,2,4,13,2,0,6,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,1,1,0,0,1,0,1,36,2,2,3,0,0,1,5,6,0,4,2,0,0,0,44,1,0
/Users/bilgem/software_design_project/anomaly-detection/src/main/java/org/opensearch/ad/breaker/CircuitBreaker.java,org.opensearch.ad.breaker.CircuitBreaker,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
